Bird_Species,Timestamp,Start_Offset,Confidence,Temperature,Filename,Battery_Voltage
Airplane,2026-01-07 16:02:00-05:00,30.0,0.7740863561630249,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210200.WAV,3.7
Airplane,2026-01-07 16:02:00-05:00,39.0,0.8259254693984985,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210200.WAV,3.7
White-throated Sparrow,2026-01-07 16:02:00-05:00,51.0,0.6777088642120361,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210200.WAV,3.7
White-breasted Nuthatch,2026-01-08 16:26:00-05:00,0.0,0.9581072330474854,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162600.WAV,3.2
White-breasted Nuthatch,2026-01-08 16:26:00-05:00,9.0,0.9324361681938171,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162600.WAV,3.2
White-breasted Nuthatch,2026-01-08 16:26:00-05:00,18.0,0.8385170102119446,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162600.WAV,3.2
Airplane,2026-01-08 16:26:00-05:00,27.0,0.8651806116104126,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162600.WAV,3.2
Airplane,2026-01-08 16:26:00-05:00,30.0,0.8878777027130127,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162600.WAV,3.2
White-breasted Nuthatch,2026-01-08 16:26:00-05:00,36.0,0.808599591255188,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162600.WAV,3.2
Airplane,2026-01-08 16:26:00-05:00,42.0,0.8299139738082886,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162600.WAV,3.2
Blue Jay,2026-01-09 07:57:00-05:00,0.0,0.7027579545974731,42.08,/Users/patrick/Desktop/creation/birds/recordings/20260109_075700.WAV,3.1
Downy Woodpecker,2026-01-09 07:57:00-05:00,24.0,0.6623422503471375,42.08,/Users/patrick/Desktop/creation/birds/recordings/20260109_075700.WAV,3.1
Brown Creeper,2026-01-09 07:57:00-05:00,33.0,0.8734792470932007,42.08,/Users/patrick/Desktop/creation/birds/recordings/20260109_075700.WAV,3.1
Downy Woodpecker,2026-01-09 07:57:00-05:00,36.0,0.7122542262077332,42.08,/Users/patrick/Desktop/creation/birds/recordings/20260109_075700.WAV,3.1
Downy Woodpecker,2026-01-09 07:57:00-05:00,39.0,0.6643140316009521,42.08,/Users/patrick/Desktop/creation/birds/recordings/20260109_075700.WAV,3.1
Airplane,2026-01-07 16:59:00-05:00,24.0,0.841059684753418,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_215900.WAV,3.2
Airplane,2026-01-07 16:59:00-05:00,30.0,0.9184595346450806,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_215900.WAV,3.2
Airplane,2026-01-07 16:59:00-05:00,36.0,0.7759851217269897,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_215900.WAV,3.2
Airplane,2026-01-07 16:59:00-05:00,39.0,0.7024890184402466,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_215900.WAV,3.2
Airplane,2026-01-07 16:59:00-05:00,42.0,0.7375985383987427,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_215900.WAV,3.2
American Crow,2026-01-08 07:37:00-05:00,0.0,0.6903181672096252,33.26,/Users/patrick/Desktop/creation/birds/recordings/20260108_123700.WAV,3.3
American Crow,2026-01-08 07:37:00-05:00,3.0,0.6990292072296143,33.26,/Users/patrick/Desktop/creation/birds/recordings/20260108_123700.WAV,3.3
American Crow,2026-01-08 07:37:00-05:00,15.0,0.845139741897583,33.26,/Users/patrick/Desktop/creation/birds/recordings/20260108_123700.WAV,3.3
American Crow,2026-01-08 07:37:00-05:00,24.0,0.6690872311592102,33.26,/Users/patrick/Desktop/creation/birds/recordings/20260108_123700.WAV,3.3
American Crow,2026-01-09 08:04:00-05:00,3.0,0.8017676472663879,42.980000000000004,/Users/patrick/Desktop/creation/birds/recordings/20260109_080400.WAV,3.2
Dark-eyed Junco,2026-01-09 08:04:00-05:00,15.0,0.9630492925643921,42.980000000000004,/Users/patrick/Desktop/creation/birds/recordings/20260109_080400.WAV,3.2
Dark-eyed Junco,2026-01-09 08:04:00-05:00,18.0,0.8166099786758423,42.980000000000004,/Users/patrick/Desktop/creation/birds/recordings/20260109_080400.WAV,3.2
Dark-eyed Junco,2026-01-09 08:04:00-05:00,21.0,0.6745177507400513,42.980000000000004,/Users/patrick/Desktop/creation/birds/recordings/20260109_080400.WAV,3.2
Dark-eyed Junco,2026-01-09 08:04:00-05:00,24.0,0.9090476632118225,42.980000000000004,/Users/patrick/Desktop/creation/birds/recordings/20260109_080400.WAV,3.2
Dark-eyed Junco,2026-01-09 08:04:00-05:00,39.0,0.6889888048171997,42.980000000000004,/Users/patrick/Desktop/creation/birds/recordings/20260109_080400.WAV,3.2
Downy Woodpecker,2026-01-07 08:16:00-05:00,30.0,0.8096726536750793,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
Downy Woodpecker,2026-01-07 08:16:00-05:00,33.0,0.9587616324424744,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
Downy Woodpecker,2026-01-07 08:16:00-05:00,36.0,0.9811534881591797,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
Downy Woodpecker,2026-01-07 08:16:00-05:00,39.0,0.87167888879776,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
Downy Woodpecker,2026-01-07 08:16:00-05:00,42.0,0.6761456727981567,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
Downy Woodpecker,2026-01-07 08:16:00-05:00,45.0,0.8807393312454224,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
Downy Woodpecker,2026-01-07 08:16:00-05:00,48.0,0.874260663986206,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
Downy Woodpecker,2026-01-07 08:16:00-05:00,51.0,0.9948497414588928,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV,3.3
